id,name,score,salary
218,User218,98.45,60849
219,User219,78.7,61745
220,User220,89.26,97559
221,User221,79.06,73174
222,User222,94.99,32074
223,User223,71.74,89461
224,User224,71.24,41694
225,User225,84.75,20556
226,User226,70.53,88605
227,User227,84.45,68408
228,User228,81.64,89741
229,User229,91.99,65493
230,User230,84.91,89159
231,User231,88.0,39323
232,User232,78.59,86535
233,User233,70.5,84005
234,User234,64.1,30127
235,User235,94.95,50775
236,User236,69.01,70483
237,User237,90.29,50507
238,User238,70.32,82840
239,User239,74.02,32321
240,User240,80.69,22977
241,User241,81.9,83482
242,User242,80.52,63580
243,User243,79.18,39385
244,User244,61.57,48171
245,User245,68.4,94873
246,User246,66.24,96928
247,User247,73.24,66805
248,User248,66.07,21931
249,User249,64.34,38732
250,User250,60.09,84908
251,User251,69.89,88931
252,User252,63.59,99340
253,User253,92.56,74511
254,User254,83.28,77486
255,User255,98.64,75836
256,User256,76.52,64838
257,User257,85.3,31628
258,User258,75.66,31756
259,User259,94.88,37277
260,User260,89.56,76778
261,User261,83.14,91872
262,User262,93.54,69309
263,User263,74.95,68392
264,User264,61.77,85354
265,User265,84.96,83774
266,User266,65.69,97791
267,User267,76.64,22518
268,User268,70.56,81588
269,User269,72.29,49536
270,User270,80.92,95041
271,User271,99.68,58768
272,User272,99.19,61496
273,User273,88.63,56414
274,User274,75.22,33398
275,User275,90.19,75774
276,User276,74.41,96597
277,User277,76.16,64578
278,User278,70.91,34855
279,User279,63.47,73648
280,User280,96.77,61518
281,User281,69.02,74220
282,User282,75.37,57410
283,User283,92.74,73562
284,User284,86.0,37152
285,User285,93.71,90639
286,User286,90.54,60140
287,User287,67.92,21129
288,User288,79.96,89329
289,User289,79.57,63057
290,User290,85.17,79225
291,User291,87.58,24203
292,User292,90.75,96062
293,User293,78.87,64583
294,User294,68.79,85124
295,User295,92.19,64697
296,User296,97.44,82173
297,User297,67.38,20807
298,User298,87.18,21921
299,User299,69.78,74842
300,User300,76.54,43895
301,User301,68.67,96921
302,User302,65.05,78445
303,User303,62.48,24349
304,User304,79.27,86921
305,User305,72.26,99353
306,User306,64.18,96977
307,User307,81.6,94055
308,User308,94.45,52979
309,User309,82.83,23126
310,User310,70.0,71040
311,User311,85.2,59685
312,User312,87.05,48495
313,User313,89.64,26672
314,User314,83.81,79521
315,User315,86.47,61138
316,User316,89.49,95172
317,User317,86.28,81605
318,User318,91.97,94920
319,User319,69.85,44273
320,User320,65.33,92636
321,User321,67.74,97716
322,User322,88.59,84257
323,User323,69.52,84626
324,User324,87.45,82775
325,User325,67.48,77899
326,User326,65.86,43083
327,User327,67.5,53147
328,User328,73.46,93448
329,User329,79.24,97722
330,User330,69.32,36864
331,User331,95.17,80084
332,User332,67.62,80182
333,User333,86.96,85220
334,User334,97.82,37734
335,User335,67.04,85112
336,User336,93.82,42401
337,User337,83.04,95103
338,User338,73.28,60690
339,User339,77.84,44545
340,User340,82.77,30805
341,User341,86.02,42956
342,User342,61.97,80650
343,User343,93.94,91303
344,User344,96.15,71768
345,User345,90.2,95903
346,User346,93.56,22975
347,User347,83.21,61647
348,User348,92.59,48645
349,User349,64.15,46561
350,User350,66.58,58445
351,User351,90.29,46558
352,User352,79.43,90381
353,User353,63.95,63283
354,User354,79.82,99477
355,User355,94.65,23698
356,User356,68.61,94113
357,User357,83.84,29299
358,User358,61.55,34774
359,User359,76.37,51807
360,User360,72.67,70674
361,User361,65.6,97187
362,User362,83.16,93592
363,User363,96.83,70842
364,User364,98.3,81389
365,User365,94.0,50648
366,User366,99.94,21243
367,User367,84.01,78815
368,User368,79.3,75516
369,User369,64.42,69474
370,User370,90.83,51704
371,User371,80.66,23989
372,User372,78.03,87031
373,User373,89.54,36360
374,User374,91.36,30886
375,User375,64.71,77490
376,User376,85.05,72610
377,User377,61.87,26210
378,User378,85.72,76579
379,User379,97.12,42455
380,User380,63.98,50110
381,User381,79.49,90502
382,User382,73.4,21094
383,User383,91.26,58279
384,User384,70.5,41068
385,User385,85.38,49230
386,User386,77.38,81598
387,User387,67.85,31522
388,User388,67.47,88273
389,User389,63.09,68985
390,User390,99.73,60601
391,User391,96.38,88516
392,User392,78.13,79910
393,User393,99.21,78789
394,User394,86.79,34379
395,User395,99.27,64816
396,User396,72.59,78097
397,User397,89.53,40199
398,User398,74.7,43339
399,User399,82.58,97990
400,User400,69.96,39105
401,User401,69.72,79860
402,User402,85.79,39775
403,User403,88.31,53186
404,User404,80.05,88527
405,User405,62.14,59402
406,User406,87.5,26528
407,User407,80.96,90253
408,User408,63.13,98330
409,User409,95.2,52686
410,User410,68.93,52852
411,User411,75.74,34958
412,User412,85.87,65411
413,User413,64.5,28220
414,User414,85.4,41725
415,User415,77.37,66341
416,User416,93.24,60402
417,User417,94.18,52032
418,User418,79.8,51367
419,User419,76.47,20098
420,User420,78.01,29640
421,User421,60.24,35361
422,User422,83.37,43629
423,User423,71.09,77663
424,User424,90.18,81706
425,User425,67.06,70122
426,User426,66.28,91215
427,User427,98.82,27767
428,User428,62.53,54669
429,User429,82.23,30036
430,User430,86.6,69426
431,User431,72.17,67017
432,User432,84.76,87503
433,User433,62.6,81705
434,User434,89.96,80331
435,User435,86.08,26239
436,User436,90.25,98922
437,User437,88.15,47385
438,User438,85.36,80233
439,User439,82.44,34427
440,User440,92.9,38289
441,User441,93.05,29448
442,User442,69.66,51534
443,User443,80.04,83520
444,User444,70.08,27145
445,User445,87.29,53454
446,User446,70.28,37122
447,User447,96.87,51805
448,User448,66.58,54025
449,User449,79.04,66096
450,User450,67.58,42122
451,User451,64.1,73539
452,User452,88.81,54098
453,User453,90.22,38976
454,User454,68.54,26212
455,User455,76.28,59969
456,User456,89.48,54918
457,User457,64.49,72409
458,User458,63.9,55721
459,User459,96.24,76047
460,User460,91.73,62272
461,User461,63.37,51511
462,User462,64.93,48146
463,User463,68.26,46297
464,User464,80.64,43047
465,User465,82.48,49668
466,User466,84.91,51500
467,User467,65.06,39968
468,User468,70.81,88782
469,User469,96.66,83821
470,User470,85.99,80784
471,User471,88.05,46871
472,User472,66.66,26527
473,User473,71.19,39760
474,User474,80.36,97497
475,User475,99.44,79604
476,User476,92.18,47537
477,User477,82.73,45634
478,User478,90.41,87860
479,User479,60.95,60066
480,User480,78.54,41339
481,User481,84.86,30216
482,User482,98.27,82470
483,User483,77.67,55495
484,User484,97.78,56806
485,User485,93.02,78259
486,User486,70.68,58057
487,User487,65.38,79849
488,User488,85.02,60453
489,User489,73.05,87685
490,User490,77.25,97223
491,User491,62.31,89766
492,User492,96.36,53925
493,User493,98.68,25694
494,User494,67.07,76312
495,User495,84.39,29901
496,User496,67.65,99024
497,User497,63.64,69280
498,User498,61.83,21341
499,User499,76.98,84623
500,User500,87.1,29547
501,User501,89.03,95696
502,User502,89.7,94939
503,User503,77.28,20060
504,User504,63.63,34319
505,User505,63.73,92106
506,User506,68.58,36605
507,User507,74.53,48742
508,User508,65.35,74078
509,User509,87.16,30458
510,User510,74.76,22291
511,User511,75.22,40983
512,User512,67.4,71694
513,User513,81.82,27533
514,User514,79.88,39103
515,User515,79.4,84857
516,User516,88.27,58003
517,User517,91.59,90124
518,User518,79.56,38997
519,User519,72.62,64002
520,User520,94.71,46179
521,User521,71.94,53849
522,User522,60.3,39740
523,User523,65.99,51824
524,User524,63.39,70383
525,User525,61.72,92162
526,User526,64.83,24877
527,User527,63.18,31183
528,User528,89.4,97853
529,User529,69.43,71125
530,User530,70.6,24290
531,User531,68.59,40552
532,User532,62.43,26809
533,User533,72.65,71759
534,User534,70.74,82869
535,User535,63.19,90303
536,User536,82.29,78957
537,User537,92.47,32223
538,User538,80.99,39021
539,User539,60.12,36990
540,User540,93.67,79985
541,User541,84.46,82713
542,User542,90.94,94686
543,User543,81.7,70223
544,User544,84.7,32620
545,User545,62.14,41499
546,User546,64.91,20702
547,User547,66.76,91320
548,User548,90.24,73978
549,User549,60.95,46409
550,User550,65.87,33881
551,User551,98.85,77840
552,User552,92.55,65387
553,User553,99.07,36986
554,User554,61.75,41059
555,User555,73.71,22791
556,User556,99.43,70180
557,User557,66.26,22026
558,User558,82.72,22605
559,User559,72.82,23945
560,User560,79.15,51285
561,User561,95.49,22271
562,User562,97.2,59340
563,User563,60.06,59633
564,User564,64.63,33759
565,User565,64.6,64832
566,User566,92.68,88850
567,User567,73.42,68785
568,User568,73.84,80645
569,User569,65.02,25685
570,User570,64.88,70586
571,User571,72.28,47678
572,User572,60.37,58597
573,User573,89.2,87713
574,User574,97.27,28130
575,User575,81.21,52713
576,User576,86.21,36414
577,User577,93.75,62245
578,User578,86.85,33760
579,User579,88.68,56171
580,User580,94.94,94320
581,User581,63.45,53518
582,User582,70.42,63093
583,User583,88.92,73675
584,User584,86.84,91628
585,User585,98.21,28635
586,User586,92.73,78137
587,User587,88.04,91992
588,User588,88.37,78464
589,User589,65.5,27420
590,User590,79.83,99980
591,User591,92.75,93290
592,User592,69.38,69897
593,User593,91.87,50303
594,User594,88.75,98617
595,User595,76.67,22013
596,User596,65.16,35492
597,User597,68.87,77362
598,User598,94.97,99270
599,User599,89.09,43738
600,User600,79.53,52622
601,User601,78.22,85729
602,User602,62.9,47985
603,User603,87.67,82133
604,User604,78.07,57194
605,User605,72.82,78583
606,User606,88.23,68033
607,User607,72.01,32209
608,User608,82.24,56123
609,User609,60.42,23909
610,User610,92.23,61768
611,User611,77.09,47336
612,User612,64.51,72365
613,User613,77.06,64304
614,User614,90.41,56875
615,User615,77.09,26574
616,User616,68.62,72973
617,User617,65.63,29100
618,User618,74.95,91527
619,User619,75.08,72064
620,User620,71.33,92043
621,User621,86.39,65150
622,User622,84.82,21536
623,User623,67.54,82739
624,User624,64.88,75292
625,User625,84.99,40144
626,User626,89.8,91692
627,User627,66.16,63486
628,User628,82.51,28035
629,User629,86.43,51184
630,User630,85.83,98840
631,User631,73.64,55810
632,User632,66.0,21352
633,User633,89.17,51149
634,User634,83.72,43275
635,User635,86.22,29894
636,User636,78.76,90052
637,User637,95.94,39033
638,User638,98.8,84667
639,User639,60.09,29008
640,User640,97.36,29231
641,User641,75.04,23601
642,User642,82.29,74959
643,User643,87.66,98134
644,User644,73.31,96645
645,User645,96.9,89891
646,User646,82.75,92847
647,User647,92.91,36547
648,User648,64.71,79026
649,User649,64.81,30290
650,User650,78.49,59571
651,User651,84.61,97855
652,User652,61.24,76628
653,User653,60.42,70157
654,User654,91.59,54549
655,User655,73.68,91559
656,User656,96.47,86423
657,User657,60.45,85633
658,User658,91.44,47268
659,User659,70.55,45115
660,User660,80.37,21174
661,User661,82.65,79028
662,User662,72.65,27137
663,User663,79.88,70451
664,User664,77.0,59992
665,User665,83.93,55886
666,User666,86.72,80260
667,User667,65.74,55657
668,User668,86.8,52911
669,User669,82.0,63452
670,User670,64.5,97258
671,User671,78.99,31761
672,User672,60.4,61750
673,User673,92.19,37816
674,User674,81.67,93991
675,User675,96.76,77707
676,User676,97.81,84014
677,User677,94.46,94254
678,User678,80.35,93631
679,User679,86.83,60856
680,User680,82.41,75337
681,User681,69.44,97683
682,User682,82.95,37773
683,User683,88.95,37313
684,User684,60.59,88885
685,User685,92.86,93090
686,User686,86.93,47859
687,User687,86.55,94690
688,User688,62.86,78392
689,User689,64.64,52948
690,User690,68.14,76063
691,User691,81.5,74345
692,User692,70.55,31756
693,User693,61.82,55219
694,User694,91.39,48737
695,User695,81.04,54904
696,User696,88.75,90684
697,User697,72.08,34753
698,User698,73.56,78798
699,User699,88.78,49554
700,User700,94.45,99001
701,User701,94.29,61412
702,User702,85.97,38303
703,User703,88.08,90679
704,User704,91.69,31904
705,User705,92.67,34578
706,User706,76.58,53324
707,User707,97.07,65391
708,User708,74.83,39425
709,User709,79.65,89653
710,User710,83.26,29524
711,User711,75.85,44822
712,User712,75.57,60389
713,User713,92.11,52299
714,User714,89.37,49075
715,User715,92.63,61617
716,User716,86.45,30593
717,User717,63.56,92871
718,User718,87.0,72326
719,User719,83.37,33064
720,User720,97.42,67320
721,User721,64.28,59047
722,User722,96.89,50246
723,User723,97.66,25133
724,User724,84.02,80633
725,User725,69.98,49663
726,User726,96.48,96830
727,User727,63.46,68457
728,User728,96.93,56859
729,User729,77.99,77190
730,User730,72.85,45723
731,User731,91.81,29342
732,User732,94.42,51598
733,User733,66.89,20413
734,User734,81.5,90155
735,User735,99.9,48548
736,User736,66.45,37123
737,User737,93.69,66841
738,User738,80.29,29121
739,User739,62.16,68519
740,User740,92.46,31995
741,User741,95.52,99953
742,User742,83.23,64500
743,User743,75.56,62889
744,User744,92.99,21651
745,User745,81.66,62393
746,User746,67.91,46717
747,User747,90.34,22103
748,User748,65.52,29504
749,User749,70.27,74782
750,User750,85.24,60465
751,User751,98.4,51960
752,User752,91.31,98853
753,User753,83.75,35831
754,User754,69.96,25641
755,User755,94.76,66412
756,User756,68.42,32480
757,User757,85.73,28839
758,User758,92.16,34650
759,User759,82.81,52430
760,User760,71.14,85527
761,User761,94.14,71805
762,User762,97.65,86301
763,User763,61.81,87220
764,User764,67.36,64485
765,User765,75.69,58796
766,User766,80.69,36187
767,User767,71.45,78369
768,User768,93.26,68647
769,User769,78.34,39867
770,User770,84.99,86367
771,User771,82.9,27865
772,User772,65.0,70989
773,User773,96.2,97289
774,User774,84.96,66925
775,User775,99.42,56345
776,User776,77.22,49115
777,User777,89.66,87721
778,User778,94.67,87114
779,User779,91.4,29714
780,User780,86.06,57212
781,User781,76.56,35262
782,User782,77.12,68322
783,User783,93.19,60744
784,User784,71.27,43746
785,User785,96.86,50381
786,User786,97.84,78356
787,User787,71.5,31090
788,User788,65.37,57996
789,User789,83.73,97291
790,User790,88.47,90539
791,User791,92.59,22561
792,User792,85.4,77261
793,User793,72.01,90809
794,User794,79.04,66973
795,User795,79.46,49931
796,User796,90.21,76561
797,User797,86.81,57277
798,User798,90.22,81202
799,User799,80.71,52972
800,User800,98.84,86713
801,User801,97.61,85966
802,User802,96.72,79343
803,User803,87.54,43857
804,User804,77.0,53039
805,User805,73.4,98683
806,User806,86.82,61457
807,User807,80.32,21658
808,User808,69.57,51465
809,User809,98.18,78146
810,User810,86.85,87604
811,User811,80.48,66117
812,User812,79.06,94183
813,User813,79.21,69430
814,User814,72.51,28250
815,User815,82.34,41231
816,User816,77.81,85477
817,User817,83.47,53737
818,User818,71.17,48957
819,User819,89.5,33794
820,User820,81.34,22694
821,User821,67.74,69402
822,User822,97.48,64892
823,User823,69.94,72992
824,User824,75.66,97875
825,User825,97.88,93271
826,User826,82.77,35181
827,User827,72.5,48808
828,User828,62.07,72954
829,User829,85.51,61248
830,User830,89.09,67425
831,User831,99.34,65676
832,User832,91.29,29111
833,User833,68.58,35034
834,User834,82.1,93129
835,User835,81.15,21356
836,User836,60.32,45033
837,User837,79.7,73029
838,User838,95.92,25745
839,User839,69.08,54251
840,User840,73.07,37116
841,User841,97.83,81847
842,User842,85.45,50253
843,User843,75.94,56862
844,User844,90.2,79817
845,User845,64.93,75353
846,User846,71.03,55526
847,User847,95.83,79539
848,User848,93.71,33344
849,User849,68.42,90152
850,User850,97.47,34147
851,User851,78.46,99911
852,User852,80.56,87658
853,User853,99.92,90930
854,User854,62.11,70810
855,User855,86.87,40855
856,User856,81.54,47756
857,User857,60.57,78383
858,User858,68.49,21324
859,User859,70.13,38210
860,User860,62.02,70495
861,User861,68.97,22598
862,User862,90.03,64904
863,User863,83.41,41159
864,User864,60.74,91994
865,User865,89.5,86128
866,User866,86.69,37885
867,User867,95.1,76924
868,User868,71.52,39080
869,User869,94.07,83445
870,User870,92.01,32119
871,User871,89.81,97644
872,User872,68.53,35675
873,User873,70.25,39359
874,User874,65.92,75553
875,User875,65.69,35703
876,User876,69.49,54569
877,User877,64.95,36507
878,User878,67.01,67945
879,User879,68.91,34363
880,User880,87.67,45116
881,User881,71.34,41330
882,User882,60.82,54982
883,User883,74.71,57724
884,User884,79.19,35324
885,User885,88.11,21384
886,User886,74.43,98757
887,User887,93.78,23731
888,User888,74.8,93652
889,User889,65.93,92551
890,User890,92.3,43521
891,User891,74.41,33121
892,User892,79.76,79948
893,User893,84.67,74462
894,User894,84.61,59045
895,User895,73.56,75513
896,User896,62.01,83024
897,User897,62.42,93654
898,User898,93.12,95517
899,User899,86.98,25000
900,User900,89.42,64705
901,User901,64.94,21883
902,User902,90.32,77552
903,User903,71.88,33808
904,User904,78.73,90929
905,User905,97.95,63376
906,User906,72.34,80683
907,User907,92.43,35975
908,User908,98.23,51183
909,User909,66.26,64062
910,User910,95.78,73660
911,User911,90.81,84263
912,User912,86.96,96480
913,User913,84.53,92061
914,User914,68.94,81007
915,User915,88.0,23150
916,User916,97.09,27775
917,User917,94.34,60691
918,User918,74.41,58203
919,User919,80.26,59036
920,User920,80.08,76124
921,User921,86.13,55710
922,User922,80.99,39777
923,User923,88.53,83349
924,User924,98.93,22289
925,User925,74.42,61852
926,User926,76.64,79487
927,User927,86.85,97206
928,User928,61.17,58213
929,User929,73.79,48816
930,User930,68.73,68904
931,User931,94.73,85461
932,User932,92.98,24126
933,User933,72.55,79990
934,User934,68.62,43524
935,User935,60.15,20528
936,User936,98.52,61175
937,User937,99.8,35127
938,User938,60.8,20255
939,User939,99.38,22244
940,User940,92.23,59058
941,User941,62.47,54659
942,User942,87.34,80008
943,User943,89.56,22166
944,User944,65.59,79328
945,User945,90.75,37371
946,User946,78.32,61188
947,User947,72.1,74010
948,User948,82.63,72672
949,User949,92.22,86766
950,User950,69.83,30191
951,User951,70.84,88495
952,User952,72.35,63195
953,User953,91.72,38124
954,User954,99.05,86888
955,User955,90.9,42851
956,User956,84.12,84006
957,User957,86.81,95361
958,User958,73.97,75430
959,User959,61.19,92201
960,User960,87.74,78778
961,User961,87.2,80096
962,User962,94.95,74746
963,User963,61.6,84918
964,User964,71.7,40478
965,User965,68.73,56582
966,User966,75.23,80416
967,User967,68.54,72851
968,User968,98.89,80539
969,User969,87.17,34619
970,User970,60.78,26409
971,User971,69.66,75854
972,User972,86.55,42603
973,User973,78.5,92755
974,User974,74.17,64329
975,User975,82.11,35354
976,User976,71.94,64066
977,User977,66.04,30147
978,User978,68.74,65550
979,User979,97.78,83066
980,User980,93.32,59980
981,User981,80.15,89873
982,User982,85.15,33710
983,User983,72.53,83008
984,User984,86.21,99929
985,User985,68.28,59794
986,User986,83.3,95489
987,User987,90.84,64729
988,User988,65.81,73751
989,User989,63.1,84830
990,User990,91.16,49916
991,User991,68.39,36741
992,User992,66.28,94801
993,User993,86.62,25605
994,User994,84.5,28663
995,User995,86.77,55285
996,User996,68.2,77951
997,User997,75.59,82600
998,User998,94.17,74993
999,User999,76.96,61734
1000,User1000,87.19,62495
1001,User1001,86.74,99217
1002,User1002,88.61,83217
1003,User1003,92.53,57199
1004,User1004,85.96,34293
1005,User1005,83.74,91408
1006,User1006,92.62,63294
1007,User1007,90.18,54206
1008,User1008,96.46,88579
1009,User1009,84.74,77971
1010,User1010,90.51,57370
1011,User1011,85.37,97824
1012,User1012,83.02,72412
1013,User1013,78.55,34288
1014,User1014,87.89,42530
1015,User1015,75.24,37697
1016,User1016,79.46,21484
1017,User1017,84.49,41103
1018,User1018,82.9,77563
1019,User1019,92.5,65351
1020,User1020,86.91,75520
1021,User1021,81.15,37911
1022,User1022,72.65,34835
1023,User1023,79.84,83833
1024,User1024,68.44,69879
1025,User1025,68.55,96123
1026,User1026,66.4,37259
1027,User1027,97.55,70595
1028,User1028,75.75,29419
1029,User1029,99.44,75409
1030,User1030,78.72,24179
1031,User1031,94.73,70784
1032,User1032,86.77,54092
1033,User1033,75.2,66256
1034,User1034,73.6,79247
1035,User1035,63.33,99684
1036,User1036,77.8,79119
1037,User1037,64.53,36889
1038,User1038,75.94,92397
1039,User1039,91.57,98327
1040,User1040,94.64,58317
1041,User1041,73.12,25779
1042,User1042,89.36,87139
1043,User1043,82.98,28671
1044,User1044,89.87,69028
1045,User1045,88.35,66011
1046,User1046,88.56,79531
1047,User1047,82.29,79240
1048,User1048,76.1,62782
1049,User1049,94.95,84913
1050,User1050,75.87,41065
1051,User1051,84.55,42030
1052,User1052,84.16,70711
1053,User1053,65.89,99611
1054,User1054,74.5,52403
1055,User1055,99.76,82430
1056,User1056,81.41,69987
1057,User1057,61.63,50900
1058,User1058,96.34,62985
1059,User1059,80.95,66659
1060,User1060,80.2,43395
1061,User1061,66.81,28468
1062,User1062,96.78,78861
1063,User1063,97.66,94651
1064,User1064,62.45,59087
1065,User1065,78.66,55451
1066,User1066,91.34,62740
1067,User1067,85.04,55594
1068,User1068,69.3,86855
1069,User1069,64.44,38349
1070,User1070,86.33,70135
1071,User1071,73.51,84471
1072,User1072,76.93,97044
1073,User1073,66.68,88956
1074,User1074,67.24,62984
1075,User1075,69.03,38960
1076,User1076,73.49,69177
1077,User1077,74.68,35803
1078,User1078,61.26,87765
1079,User1079,95.17,97999
1080,User1080,94.05,34285
1081,User1081,96.74,40935
1082,User1082,95.12,94972
1083,User1083,97.85,54417
1084,User1084,80.89,78145
1085,User1085,86.61,72520
1086,User1086,69.04,48871
1087,User1087,67.27,74859
1088,User1088,65.7,79112
1089,User1089,96.75,79603
1090,User1090,84.55,89863
1091,User1091,60.39,53340
1092,User1092,96.41,72503
1093,User1093,72.11,83586
1094,User1094,76.73,32235
1095,User1095,83.68,60661
1096,User1096,80.35,20970
1097,User1097,65.05,35047
1098,User1098,65.82,51643
1099,User1099,83.92,42028
1100,User1100,98.37,72769
1101,User1101,91.34,65812
1102,User1102,77.64,24338
1103,User1103,94.0,22119
1104,User1104,65.42,76489
1105,User1105,96.29,63023
1106,User1106,98.8,72563
1107,User1107,99.06,73234
1108,User1108,92.82,69859
1109,User1109,91.6,40298
1110,User1110,93.23,59567
1111,User1111,60.23,58448
1112,User1112,60.24,62980
1113,User1113,63.62,84978
1114,User1114,69.78,99991
1115,User1115,89.36,88553
1116,User1116,66.78,63323
1117,User1117,72.14,68364
1118,User1118,93.95,65420
1119,User1119,60.67,37837
1120,User1120,72.72,24598
1121,User1121,83.41,29504
1122,User1122,94.33,87414
1123,User1123,71.53,43790
1124,User1124,61.11,61850
1125,User1125,96.8,22117
1126,User1126,83.77,85338
1127,User1127,82.2,83360
1128,User1128,94.66,75499
1129,User1129,70.8,32056
1130,User1130,88.73,89495
1131,User1131,69.59,51192
1132,User1132,90.76,59473
1133,User1133,79.52,25659
1134,User1134,80.34,24132
1135,User1135,67.04,57174
1136,User1136,62.88,34741
1137,User1137,63.66,22283
1138,User1138,93.17,82850
1139,User1139,79.74,79578
1140,User1140,63.57,28362
1141,User1141,95.38,59949
